label,sourceLen,tokens,descriptors,duplicateDescriptors,suppressedDescriptors,crfSize,yieldCount,matched,oraclePruned
testIssue1025#1,84,24,491,0,98,231,334,true,155
testBorrowExpression#4,28,9,206,0,64,85,132,true,56
testIssue1025#2,43,14,233,0,16,108,153,true,53
testBorrowExpression#7,11,4,133,0,50,54,76,true,20
testClassWithPrivateSet#1,77,13,221,0,30,108,142,true,51
testBorrowExpression#8,12,4,171,0,66,67,94,true,48
testAttributeInPoundIf#1,52,13,379,0,67,184,161,true,67
testKeywordApplyExpression#1,91,38,1026,0,277,443,600,true,266
testCallToOpenThatLooksLikeDeclarationModifier#1,41,14,274,0,39,140,154,true,47
testFalseMultilineDelimiters#1,74,15,457,0,141,197,265,true,24
testReferenceToOpenThatLooksLikeDeclarationModifier#1,36,11,274,0,39,140,151,true,47
testOperatorReference#1,12,6,143,0,46,63,94,true,21
testOpenVarInCodeBlockItemList#1,34,11,274,0,39,140,151,true,47
testBogusCaptureLists#1,314,57,1206,0,433,495,757,true,346
testAsyncLetInLocalContext#1,48,14,289,0,49,140,164,true,55
testMacroExpansionExpression#1,16,6,128,0,42,55,97,true,38
testBorrowingConsumingParameterSpecifiers#1,19,4,53,0,1,29,32,true,4
testMacroExpansionExpression#2,30,8,172,0,46,75,124,true,43
testBorrowingConsumingParameterSpecifiers#2,19,4,53,0,1,29,32,true,4
testMacroExpansionExpression#3,35,8,201,0,77,88,136,true,42
testBorrowingConsumingParameterSpecifiers#4,29,10,151,0,11,74,100,true,27
testPostProcessMultilineStringLiteral#1,29,1,51,0,15,23,30,true,1
testBorrowingConsumingParameterSpecifiers#5,29,10,151,0,11,74,100,true,27
testPostProcessMultilineStringLiteral#2,31,1,51,0,15,23,30,true,1
testBorrowingConsumingParameterSpecifiers#6,52,18,322,0,21,143,210,true,94
testMultiLineStringInInterpolationOfSingleLineStringLiteral#1,26,6,162,0,60,67,99,true,12
testBorrowingConsumingParameterSpecifiers#7,25,9,119,0,7,61,79,true,11
testEmptyLineInMultilineStringLiteral#1,30,1,51,0,15,23,30,true,1
testBorrowingConsumingParameterSpecifiers#8,26,9,119,0,7,61,79,true,11
testEmptyLineInMultilineStringLiteral#2,21,1,51,0,15,23,30,true,1
testBorrowingConsumingParameterSpecifiers#9,36,10,153,0,11,75,100,true,27
testTabsIndentationInMultilineStringLiteral#1,16,3,91,0,29,39,53,true,4
testBorrowingConsumingParameterSpecifiers#10,35,10,153,0,11,75,100,true,27
testMixedIndentationInMultilineStringLiteral#1,18,3,91,0,29,39,53,true,4
testBorrowingConsumingParameterSpecifiers#11,44,16,250,0,15,115,160,true,54
testTrailingCommasInTypeExpressions#1,37,14,334,0,69,133,245,true,140
testBorrowingConsumingParameterSpecifiers#12,65,18,326,0,21,145,210,true,94
testTrailingCommasInTypeExpressions#2,34,14,330,0,70,130,239,true,134
testBorrowingConsumingParameterSpecifiers#13,41,9,117,0,7,60,79,true,11
testTrailingCommasInTypeExpressions#3,43,17,525,0,123,214,306,true,145
testBorrowingConsumingParameterSpecifiers#14,41,9,117,0,7,60,79,true,11
testTrailingCommasInTypeExpressions#4,51,18,631,1,152,242,399,true,284
testBorrowingConsumingParameterSpecifiers#15,40,9,117,0,7,60,79,true,11
testIfExprInCoercion#1,53,20,357,0,108,158,259,true,71
testBorrowingConsumingParameterSpecifiers#16,39,9,117,0,7,60,79,true,11
testSwitchExprInCoercion#1,58,18,411,0,119,186,259,true,44
testBorrowingConsumingParameterSpecifiers#17,47,10,121,0,7,62,84,true,11
testIfExprInReturn#1,53,19,355,0,105,157,254,true,78
testBorrowingConsumingParameterSpecifiers#18,47,10,121,0,7,62,84,true,11
testSwitchExprInReturn#1,75,23,467,0,118,217,289,true,49
testBorrowingConsumingParameterSpecifiers#19,44,10,121,0,7,62,84,true,11
testTryIf1#1,57,21,374,0,108,164,254,true,68
testBorrowingConsumingParameterSpecifiers#20,44,10,121,0,7,62,84,true,11
testTryIf2#1,64,22,416,0,108,181,277,true,85
testBorrowingConsumingParameterSpecifiers#21,71,17,198,0,8,95,120,true,17
testTryIf3#1,76,26,519,0,127,226,336,true,97
testBorrowingConsumingParameterSpecifiers#22,71,17,198,0,8,95,120,true,17
testAwaitIf1#1,65,22,377,0,108,166,259,true,72
testBorrowingConsumingParameterSpecifiers#23,67,17,198,0,8,95,120,true,17
testAwaitIf2#1,72,23,419,0,108,183,282,true,89
testBorrowingConsumingParameterSpecifiers#24,65,17,198,0,8,95,120,true,17
testAwaitIf3#1,84,27,522,0,127,228,341,true,101
testSuppressedImplicitConformance#1,26,7,77,0,4,42,53,true,8
testTrySwitch1#1,55,17,396,0,116,179,237,true,37
testSuppressedImplicitConformance#2,24,8,180,0,23,79,116,true,27
testTrySwitch2#1,86,26,528,0,121,241,312,true,56
testSuppressedImplicitConformance#3,28,7,108,0,8,47,82,true,39
testTrySwitch3#1,98,30,628,0,139,286,365,true,62
testSuppressedImplicitConformance#4,20,9,133,0,12,55,112,true,57
testAwaitSwitch1#1,57,17,393,0,116,178,236,true,36
testSuppressedImplicitConformance#5,17,6,85,0,7,39,55,true,12
testAwaitSwitch2#1,94,27,531,0,121,243,317,true,60
testSuppressedImplicitConformance#6,19,8,133,0,9,58,88,true,32
testAwaitSwitch3#1,106,31,631,0,139,288,370,true,66
testSuppressedImplicitConformance#7,29,10,92,0,6,48,67,true,13
testIfExprCondCast#1,37,15,296,0,106,126,221,true,68
testSuppressedImplicitConformance#8,35,16,157,0,12,80,116,true,19
testIfExprForceCast#1,37,15,296,0,106,126,221,true,68
testSuppressedImplicitConformance#9,44,11,116,0,8,66,88,true,16
testSwitchExprCondCast#1,59,19,411,0,119,186,261,true,44
testSuppressedImplicitConformance#10,28,9,152,0,9,68,94,true,30
testSwitchExprForceCast#1,59,19,411,0,119,186,261,true,44
testInitAccessorsWithDefaultValues#1,113,37,926,0,239,414,635,true,236
testUnsafeExpr#1,31,11,214,0,39,95,128,true,38
testBorrowingGetAccessor#1,54,14,280,0,27,144,158,true,71
testUnsafeExpr#2,33,11,222,0,39,103,123,true,14
testEnumCaseWithGenericParameter#1,42,16,194,0,14,96,144,true,35
testUnsafeExpr#3,28,11,160,0,46,71,118,true,38
testLiteralInitializerWithTrailingClosure#1,24,8,217,0,45,98,145,true,38
testUnsafeExpr#4,27,9,179,0,49,79,113,true,44
